name	sign	syllabic	PREFIX	POSTFIX	meszl	unicode	compound	sumerogram1	sumerogram2	sumerogram3	sumerogram4	sumerogram5	sumerogram6	sumerogram7	sumerogram8	sumerogram9	sumerogram10	sumerogram11	sumerogram12	sumerogram13	sumerogram14																											
BUL	𒇧	bul, pul			788	U+121E7	False	LAGAB x EŠ	LAGAB  x U.U.U	BU5	TUKU4	ZANSUR																																				
BU	𒁍	bu, pu, gid, git, gitṭ			580	U+1204D	False	BUR12	DIM13																																							
BIR	𒄵	bir			643	U+12135	False	ḪI x ŠE	BIRI	BER	DUBUR	PER3	PIR3																																			
BIL2	𒉋	bil			312	U+1224B	False	NE x PAB	NE šeššig	BE7																																						
BI	𒁉	bi, be, pi, kas, kaš			358	U+12049	False	BE2	BIZ	EBIR2	EPIR2	GAŠ	KA8	KAS2	KAṢ2	KAŠ	PE2	PI2	SA18	SIRIS4	SU15	ŠA21	ŠU13																									
BAD	𒁁	be, bi, bad, bat, mid, mit, til, zis 			113	U+12041	False	ARI2	BA9	ZAZ	ZEZ	ZIS	ZIZ	ZU4	ZURU9																																	
BAR	𒁇	bar, par			121	U+12047	False	BA15	BARA	PAR2	PARA2	WAR																																				
BAL	𒁄	bal, pal			005	U+12044	False	BALA	BUL3	PAL	PALA4	PUL3																																				
PAN	𒉼	ba, pan			685	U+1227C	False	BA10																																								
BA	𒁀	ba			014	U+12040	False	BE4																																								
AZ	𒊍	az, as, aṣ			297	U+1228D	False	PIRIG x ZA	AS	ASA	AṢ	AZA	US4	UṢ4	UZ4																																	
AŠ	𒀸	aš			001	U+12038	False	1	ANA3	AS3	AṢ3	AŠ																																				
AŠ2	𒀾	aš			548	U+1203E	False	AS2	AṢ2	AŚ	AŠA2	UDEŠŠU	UTU5	ZIZ2																																		
AR	𒅈	ar			726	U+12148	False	IGI.RI	ARA8																																							
AG	𒀝	aq, ag, ak			127	U+1201D	False	A5	AK	AKA	AQ	AQA	KE3	KI3	KID3	ME6	NA3	RA6	ŠA5																													
AB	𒀊	ap, ab			223	U+1200A	False	ABA	ABBA	AP	AŠ6	ERI12	ES3	EṢ3	EŠ3	EZ3	IRI12	IŠ7	IZ3	UNU5																												
AN	𒀭	an	divine name		010	U+1202D	False	A11	AL7	ZA5																																						
AM	𒄠	am			309	U+12120	False	GU4 x KUR	ADAR2	AMA2	ILDAG3																																					
AL	𒀠	al			474	U+12020	False	ALA3	IL10																																							
GIR2	𒄉	ad, at, 			007	U+12109	False	AD2	ADDA4	ADDU3	AT2	AṬ2	KIŠ17	KIŠA2	KIŠI17	TAB2	UL4																															
AD	𒀜	ad, at			258	U+1201C	False	AB3	ABA3	ADA	AP3	AD	AṬ																																			
A’	𒀪	aʾ,ʾa,eʾ,ʾe,ʾi,iʾ, ʾu, uʾ			635	U+1202A	False	E’	EḪ2	I’	IḪ2	U’	UḪ5	UMUN4																																		
A	𒀀	a			839	U+12000	False	’A4																																								
AŠ.DAR	𒀸𒁯				001+183	U+12038 & U+1206F	True	old form of U.DAR																																								
AŠ.A.AN	𒀸𒀀𒀭				001+839+010	U+12038 & U+12000 & U+1202D	True	TILLA5																																								
AŠ.AŠ	𒐀				002	U+12400	False	2	DIDLI	MAN3	MIN5																																					
ḪAL	𒄬				003	U+1212C	False	BULUḪ	BUR8	BURU8	BURUḪ	ḪALA																																				
ḪAL.ḪAL	𒄬𒄬  or  𒀀𒇉𒄬𒄬				003+003  (839+756+003+003)	U+1212C & U+1212C & U+0020 & U+0020 & U+006F & U+0072 & U+0020 & U+0020 & U+12000 & U+121C9 & U+1212C & U+1212C	True	A.ENGUR.ḪAL.ḪAL	ID2Idiqlat																																							
EŠ6	𒐁				004	U+12401	False	3	AŠ.AŠ.AŠ																																							
BAL over BAL	𒁅				005	U+12045	False																																									
GIR2	𒄈				006	U+12108	False	GER2	GIRI2																																							
GIR2.LAL	𒄈𒇲				006+750	U+12108 & U+121F2	True	GILAL																																								
BUR2	𒁔				008	U+12054	False	BAL2	BU8	UŠUM																																						
UŠUMX	𒍘				008	U+12358	False																																									
TAR	𒋻				009	U+122FB	False	DAR6																																								
AN.AŠ.AN	𒀭𒀸𒀭				010+001+010	U+1202D & U+12038 & U+1202D	True	TILLA2																																								
AN.AŠ.A.AN	𒀭𒀸𒀀𒀭				010+001+839+010	U+1202D & U+12038 & U+12000 & U+1202D	True	TILLA4																																								
AN.AN	𒀭𒀭				010+010	U+1202D & U+1202D	True	NAB3																																								
AN.TU	𒀭𒌅				010+086	U+1202D & U+12305	True	KUNIGARA3																																								
AN.NA	𒀭𒈾				010+110	U+1202D & U+1223E	True	NAGGA	NANGA5	NIGGI																																						
AN.EN.ZU	𒀭𒂗𒍪				010+164+015	U+1202D & U+12097 & U+1236A	True	TUNGAL																																								
AN.EN.KI	𒀭𒂗𒆠				010+164+737	U+1202D & U+12097 & U+121A0	True	TUNGAL2																																								
AN.NAGA	𒀭𒉀				010+293	U+1202D & U+12240	True	NANIBGAL																																								
AN.UG	𒀭𒊌				010+296	U+1202D & U+1228C	True	DUNGA3																																								
AN.NE	𒀭𒉈				010+313	U+1202D & U+12248	True	ANBIR																																								
AN.ANŠE	𒀭𒀲				010+353	U+1202D & U+12032	True	ŠAKAN4																																								
AN.ŠID	𒀭𒋃				010+485	U+1202D & U+122C3	True	UTTU2																																								
AN.DUL3	𒀭𒊨				010+512	U+1202D & U+122A8	True	SIL3																																								
AN.ŠEŠ.KI	𒀭𒋀𒆠				010+535+737	U+1202D & U+122C0 & U+121A0	True	NANNA2	dNANNA	dNANNAR																																						
AN.BARA2	𒀭𒁈				010+554	U+1202D & U+12048	True	KUNIGARA																																								
